ID,SMILES
1,[*]c1ccc(Oc2ccc(-c3nc4ccc(Oc5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(c8ccc(Oc%10ccc%11nc([*])c(-c%12ccccc%12)nc%11c%10)cc8)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4nc3-c3ccccc3)cc2)cc1
2,[*]CCCCCCNC(=O)C1CC1C(=O)N[*]
3,[*]Oc1cccc(OC(=O)c2cc(C(C)C)c(OC(=O)c3ccc(C(=O)Oc4c(C(C)C)cc(C([*])=O)cc4C(C)C)cc3)c(C(C)C)c2)c1
4,[*]CC([*])(C)C(=O)OCCOC(=O)C1CCC(=O)N1OC(C)=O
5,[*]c1cc(Br)c(-c2c(Br)cc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc2C(=O)OCCCCCCCCCCCCCC)c(C(=O)OCCCCCCCCCCCCCC)c1
6,[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2Oc2ccc(Cl)cc2)cc1
7,[*]CC([*])(C)C(=O)OCC1(CC)COC1
8,[*]Oc1ccc2cc(Oc3ccc4c(=O)n5c6cc(-c7ccc8c(c7)nc7c9ccc([*])c%10cccc(c(=O)n87)c%109)ccc6nc5c5cccc3c45)ccc2c1
9,[*]c1ccc(N=Cc2ccc(-c3ccc(C=Nc4ccc(-n5c(=O)c6ccc7c8c(Oc9ccc(C(C)(C)C)cc9)cc9c(=O)n([*])c(=O)c%10ccc(c%11c(Oc%12ccc(C(C)(C)C)cc%12)cc(c5=O)c6c7%11)c8c%109)cc4)s3)s2)cc1
10,[*]c1ccc(Oc2ccc(C(=O)c3cccc(C(=O)c4ccc(Oc5ccc(-c6nc7ccccc7n6-c6ccc(-n7c([*])nc8ccccc87)cc6)cc5)cc4)c3)cc2)cc1
11,[*]N=C1c2ccccc2C(=Nc2ccc(Cc3ccc([*])cc3)cc2)c2ccc(C(C)(C)C)cc21
12,[*]Nc1cccc(NC(=O)c2cc(C([*])=O)c(C(=O)O)cc2C(=O)O)c1
14,[*]CCc1ccc(CCNC(=O)CCCCCCCCCCCCCCCC(=O)N[*])cc1
15,[*]CCCCCC([*])CCCCCCCCCC
16,[*]CC(=O)Nc1ccc(NC(=O)COc2ccc3ccccc3c2Sc2c(O[*])ccc3ccccc23)cc1
17,[*]CC([*])c1ccc(COCCCCO)cc1
18,[*]Nc1cccc(C=Cc2ccc(NC(=O)c3ccc(C([*])=O)cc3)cc2)c1
19,[*]CCNC(=O)CCCCCCCCC(=O)NCCNC(=O)C(=O)N[*]
20,[*]CC(CC([*])(C#N)C(=O)OC)c1ccccc1
22,[*]C(=O)Oc1ccc2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2c1
23,[*]Nc1cc(NC(=O)c2ccc(C([*])=O)cc2)cc(C(=O)OCCOc2ccc(C=CC(=O)c3ccccc3)cc2)c1
24,[*]c1cc(-c2ccccc2)c([*])[nH]1
25,[*]C(=O)N1CC(=O)N(C(=O)c2ccc3c(c2)C(=O)N(c2cccc(P(=O)(c4ccccc4)c4cccc(N5C(=O)c6ccc([*])cc6C5=O)c4)c2)C3=O)C1=O
26,C([*])C([*])(C)C(=O)OC(F)(F)(F)
27,[*]c1ccc2c(c1)c1cc([*])ccc1n2CCC(=O)OCC
28,[*]Oc1ccc(C(=O)OCCOCCOC(=O)c2ccc(OC([*])=O)cc2)cc1
29,[*]CCCCCCNC(=O)c1ccc(C(C)c2ccc(C(=O)N[*])cc2)cc1
30,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc4ccc(Oc5ccc(N6C(=O)c7ccc(C([*])(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4c3)cc1)C2=O
31,[*]Nc1ccc(NC(=O)c2cc(C([*])=O)c(C(=O)OCC)cc2C(=O)OCC)cc1
32,[*]c1ccc(-c2ccc(-[n+]3c(-c4ccccc4)cc(-c4ccc(-c5cc(-c6ccccc6)[n+]([*])c(-c6ccccc6)c5)cc4)cc3-c3ccccc3)cc2C(F)(F)F)c(C(F)(F)F)c1
33,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(N(c3ccccc3)c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O
34,[*]C=CC(C(=O)OC(C)C)C([*])C(=O)OC(C)C
35,[*]C2CC(C=C[*])C3C(=O)N(c1c(F)c(F)c(F)c(F)c1F)C(=O)C23
36,[*]CC(C(=O)OCCC)(C(=O)OCCC)[*]
37,[*]CCCCCCCCC(=O)NCCCCCCNC(=O)CCCCO[*]
